id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1056530159891934083,Venetian Suite,508404602,Villa D Citta,,Lincoln Park,41.9227577,-87.6489701,Private room,339,1,1,2024-05-02,0.07,6,310,0,2208267
1056557746960892302,Perfect 2BD/1BA FREE Park/Laundry minutes to DT,23268494,John,,Lower West Side,41.85435220242558,-87.68604504334078,Entire home/apt,182,30,11,2025-06-07,0.70,3,292,6,R24000113376
1056566992993855357,Florencia Suite,508404602,Villa D Citta,,Lincoln Park,41.92394,-87.64981,Private room,341,1,1,2024-05-16,0.08,6,219,0,2208267
1056576311257507472,Milan Suite,508404602,Villa D Citta,,Lincoln Park,41.92352,-87.64989,Private room,384,1,0,,,6,307,0,2208267
1056595795605745206,Caesar's Lair,508404602,Villa D Citta,,Lincoln Park,41.9227577,-87.6489701,Private room,288,1,2,2025-04-24,0.25,6,324,2,2208267
1056653383493807183,Simple and Cozy Suite,134459513,Moshe,,West Ridge,42.00240309202327,-87.69967721834757,Entire home/apt,98,2,25,2025-06-16,1.65,1,57,20,R24000112691
1057288583699943976,Cozy apartment in a foodie neighborhood!,90835829,Anthony,,Uptown,41.97482,-87.66365,Entire home/apt,193,2,46,2025-06-15,3.29,4,309,38,R23000111359
1058021947933080818,Luxury Meets Chic at Urban 2BR/2BA Condo,34583331,Anthony,,North Center,41.9396479,-87.68690819999999,Entire home/apt,153,4,1,2025-06-08,1,2,99,1,R24000114715
1058661881724077438,Guesthome w/Quick Highway Access,299804269,Toby,,Irving Park,41.95697537543361,-87.70732926307113,Entire home/apt,141,1,16,2025-04-12,1.22,2,317,12,R24000116045
1058668385625426111,Private Room/s Near University of Chicago,432787621,Sadiq,,Woodlawn,41.7803328512718,-87.60185217712633,Private room,86,2,4,2024-06-02,0.29,1,6,0,R24000120827
1058865758697013929,2 Bed/2 Bath stylish condominium,18351107,Lucas,,South Shore,41.769564,-87.5679482,Entire home/apt,223,32,0,,,1,364,0,
1059554742771294988,Cushy pad fully remodeled 10 min from O’Hare.,64255916,Rafal,,Norwood Park,41.98291138127399,-87.80979596078394,Entire home/apt,103,2,67,2025-06-12,4.59,1,312,47,R24000115168
1059980709008219869,"Blueground | River North, gym, sky terrace & yoga",107434423,Blueground,,Near North Side,41.8962192,-87.6391831,Entire home/apt,260,32,0,,,594,291,0,
1060367365602195805,Spacious loft w/ vintage details,76395242,Jessica,,West Town,41.8908657,-87.6858823,Entire home/apt,91,1,26,2025-06-09,1.81,1,298,22,R24000115481
1061057150880904467,Room and Private Bath in Lincoln Park,86859387,Morgan,,Lincoln Park,41.9133782551501,-87.65075334866097,Private room,80,32,3,2024-10-05,0.23,1,328,2,
1061059907241759502,MedDistrict Chic 1bed/1bath + Free Laundry,100782278,Chicago Furnished,,Near West Side,41.87872,-87.68165,Entire home/apt,108,32,4,2025-05-02,0.29,29,309,2,
1061063166781509087,Charming Pinterest-Perfect Cozy 1-Bedroom Retreat,175087843,Ella,,Ohare,41.97311850941501,-87.84589339861505,Entire home/apt,188,1,10,2025-04-14,0.68,19,312,7,R23000109215
1061461409419254988,2bdrm Garden Apt. Chicago Logan Sq. 30 days +,251428510,Corina,,Logan Square,41.93026,-87.72036,Entire home/apt,,32,3,2025-05-08,0.23,1,90,2,
1061544242190257116,The Estate-2 bedroom 1 bath home,552191246,Davi,,South Deering,41.72002149707307,-87.57352852883663,Entire home/apt,68,2,0,,,2,40,0,R24000112754
1061562304886176439,South Loop Studio Hotel (301),136328354,Zhenhui,,Loop,41.872268690417165,-87.62787109001505,Private room,115,1,37,2025-06-03,2.90,6,282,34,R24000115087
1061616905863538274,Modern 3BR Downtown Chicago Getaway Near McCormick,395498979,Milan,,Near South Side,41.853991852773596,-87.62368264923914,Entire home/apt,362,2,28,2025-04-20,1.65,79,335,21,2792126
1061618900924742619,"MICH AVE Downtown, Park, Museums 2bd #4",98193524,Jeremy,,Near South Side,41.86666,-87.62335,Entire home/apt,307,6,60,2025-06-09,3.52,39,116,47,R21000064441
1061621364884644888,"MICH AVE Downtown 2bd, Grant Park Museums #25",98193524,Jeremy,,Near South Side,41.866317064674845,-87.6235500770519,Entire home/apt,392,2,43,2025-06-08,2.82,39,111,32,R22000086740
1061670607077451270,South Loop Studio Hotel (305),136328354,Zhenhui,,Loop,41.87232738809115,-87.62599289004251,Private room,105,1,52,2025-05-30,3.95,6,281,47,R24000117679
